"filename", "language", "JSON", "JavaScript", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\boxanimation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\boxanimations.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\cardetailedpagenimation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\categoriesanimation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\detailedpage.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\drive.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\driving.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\h1.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\h3.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\h4.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\locationanimation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\movingbus.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\p1.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\packageanimations.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\travelinganimation.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\vh1.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\vh2.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\walkingcar.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\assets\walkingman.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\Dashboard.css", "CSS", 0, 0, 104, 0, 0, 9, 21, 134
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\Dashboard.js", "JavaScript", 0, 68, 0, 0, 0, 0, 12, 80
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\NewProduct.css", "CSS", 0, 0, 148, 0, 0, 23, 28, 199
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\NewProduct.js", "JavaScript", 0, 352, 0, 0, 0, 28, 29, 409
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\OrdersList.js", "JavaScript", 0, 122, 0, 0, 0, 0, 22, 144
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\ProcessOrder.css", "CSS", 0, 0, 38, 0, 0, 0, 5, 43
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\ProcessOrder.js", "JavaScript", 0, 165, 0, 0, 0, 0, 16, 181
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\ProductReviews.css", "CSS", 0, 0, 77, 0, 0, 6, 11, 94
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\ProductReviews.js", "JavaScript", 0, 166, 0, 0, 0, 0, 25, 191
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\ProductsList.css", "CSS", 0, 0, 50, 0, 0, 8, 9, 67
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\ProductsList.js", "JavaScript", 0, 128, 0, 0, 0, 1, 19, 148
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\Sidebar.css", "CSS", 0, 0, 44, 0, 0, 9, 12, 65
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\Sidebar.js", "JavaScript", 0, 113, 0, 0, 0, 0, 9, 122
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\TravelAgencyDashboard.js", "JavaScript", 0, 77, 0, 0, 0, 11, 21, 109
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\UpdateProduct.js", "JavaScript", 0, 400, 0, 0, 0, 286, 54, 740
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\UpdateUser.js", "JavaScript", 0, 128, 0, 0, 0, 0, 15, 143
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Admin\UsersList.js", "JavaScript", 0, 124, 0, 0, 0, 0, 22, 146
"c:\Users\ACER\Downloads\travelogue_fyp\frontend\src\components\Cart\Cart.css", "CSS", 0, 0, 158, 0, 0, 0, 20, 178
